Name,Order mean,Order deviation,Duration mean (ms),Duration deviation,User CPU % mean,User CPU % deviation,System CPU % mean,System CPU % deviation,Committed heap (B) mean,Committed heap deviation,Used heap (B) mean,Used heap deviation,Used heap ratio mean,Used heap ratio deviation,Classes loaded mean,Classes loaded deviation,Methods compiled mean,Methods compiled deviation,File read duration (ms) mean,File read deviation,File write duration (ms) mean,File write deviation,Socket read duration (ms) mean,Socket read deviation,Socket write duration(ms) mean,Socket write deviation,Avg active thread mean,Avg active count deviation,Avg active daemon mean,Avg active daemon deviation,Thread sleep mean,Thread sleep deviation,GC count,GC count deviation,GC pause time,GC pause time deviation,GC % test time,GC % deviation
org.apache.commons.imaging.formats.jpeg.iptc.IptcParserTest,49.62,39.04518052780624,10,8,16.173435613512993,4.82448455078163,0.9404207519255579,0.19543811272109768,130044395,115968958,55116147,70196870,0.389866322042811,0.12060182164624328,11.9,33.86301938151194,0.0,0.0,484810,683260,31925,52048,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.18,0.5602477586036451,0,1,1.539622026718801,5.277508909822472
org.apache.commons.imaging.palette.DitheringTest,79.14,39.7615392056193,10,11,18.588118001818657,5.27270989035004,0.9015527942683548,0.4432135489777824,257488322,209293302,97741452,96365619,0.3474964308009255,0.07818823901512842,1.24,1.5851350293348792,0.0,0.0,46023,212385,52753,88137,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1.38,0.9233921492109891,0,0,0.0,0.0
org.apache.commons.imaging.formats.tiff.TiffReadAlphaTest,94.94,50.75769168614862,11,8,19.36465060710907,6.299239412406407,1.0626747226342559,0.29438317614138965,162906767,122764621,88659260,102853448,0.45929861987805304,0.1665860978887108,17.84,52.25852532733541,0.02,0.14142135623730942,2763258,2725020,40033,60184,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.02,0.1414213562373094,0,0,0.07142857142857142,0.5050762722761057
org.apache.commons.imaging.formats.jpeg.exif.MakerNoteFieldTest,81.8,38.123858296722425,11,4,20.36568896472454,7.550445721322816,0.8747053464176133,0.24940919619142235,216363171,149902531,98619356,81327680,0.42507333823810944,0.13201362605953673,0.6,0.49487165930539356,0.12,0.32826072265931605,3366074,3501454,197932,180400,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.02,0.14142135623730942,0,0,0.0,0.0
org.apache.commons.imaging.formats.png.PngImageParserTest,67.66,34.37168388457604,12,10,15.272945031523705,2.7736586640089533,0.9111146874492988,0.20696532004913468,144871260,131118019,60822642,76027849,0.36760666373956496,0.11797683728139378,5.86,14.14647861281587,0.02,0.14142135623730945,36619,93071,40076,66671,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.18,0.5602477586036453,0,0,0.1111111111111111,0.785674201318386
org.apache.commons.imaging.roundtrip.NullParametersRoundtripTest,95.7,43.20820500312223,12,10,18.40922077000141,4.491459835342888,0.8738652862375602,0.29172420185863973,228421795,196824755,94363305,87533902,0.41962710237419854,0.12374874823341218,14.1,35.316210072395215,0.02,0.14142135623730936,181821,413535,324936,240108,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.4,0.7284313590846837,0,0,0.2222222222222222,1.571348402636772
org.apache.commons.imaging.formats.tiff.TiffFloatingPointRoundTripTest,81.2,35.80217756460278,15,13,17.662789549678564,5.130475318698106,0.9201797896530479,0.3701239732532883,175379578,128054588,69669626,56418894,0.37916742941802073,0.1085133609062959,0.2,0.49487165930539295,0.04,0.1979486637221575,3618833,3948306,170004,185172,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.18,0.48191793695522916,0,5,0.924561403508772,5.463636441975307
org.apache.commons.imaging.formats.tiff.TiffBigTiffTest,70.5,36.40545485029878,15,20,17.007516488432884,5.184183885184711,0.9962891394970939,0.3222988217203384,141473873,114970959,52360276,46547981,0.35781721130053645,0.11431675964722318,0.32,0.843704174870481,0.02,0.14142135623730948,3023732,4024000,31031,52365,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.08,0.2740475156178697,0,0,0.1176470588235294,0.831890330807704
org.apache.commons.imaging.formats.tiff.JpegImageDataTest,73.26,51.892278533791234,15,93,17.802895858883858,6.158797629023459,0.8920173408696428,0.459542583846216,222088396,155091618,101802938,91845000,0.4041162760336583,0.13639509670460384,0.12,0.43518703462079494,0.0,0.0,54,382,9372,34507,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.16,0.9971387638065788,1,7,0.8855534709193246,5.265308768174051
org.apache.commons.imaging.formats.bmp.BmpWriterRgbTest,80.88,39.95591448134827,16,61,18.182893246412277,6.444685422100894,0.9878561245277524,0.3035883868538273,160820101,99224304,67759248,55423789,0.38798550950431504,0.09946038448751078,0.54,1.5676578135575905,0.02,0.14142135623730936,4776703,23644607,24929,68517,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.54,2.7196188208299077,3,20,1.2661290322580645,6.3760854354580845
