Name,Order mean,Order deviation,Duration mean (ms),Duration deviation,User CPU % mean,User CPU % deviation,System CPU % mean,System CPU % deviation,Committed heap (B) mean,Committed heap deviation,Used heap (B) mean,Used heap deviation,Used heap ratio mean,Used heap ratio deviation,Classes loaded mean,Classes loaded deviation,Methods compiled mean,Methods compiled deviation,File read duration (ms) mean,File read deviation,File write duration (ms) mean,File write deviation,Socket read duration (ms) mean,Socket read deviation,Socket write duration(ms) mean,Socket write deviation,Avg active thread mean,Avg active count deviation,Avg active daemon mean,Avg active daemon deviation,Thread sleep mean,Thread sleep deviation,GC count,GC count deviation,GC pause time,GC pause time deviation,GC % test time,GC % deviation
org.apache.commons.codec.net.QCodecTest,3.0,0.0,10,4,49.36352550983429,0.7334409716566064,1.822681464254856,0.20743045209580221,130023424,0,19500801,379923,0.14953846153846154,0.00300886264855507,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
org.apache.commons.codec.net.PercentCodecTest,5.0,0.0,10,5,49.36352550983429,0.7334409716566064,1.822681464254856,0.20743045209580221,130023424,0,19500801,379923,0.14953846153846154,0.00300886264855507,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
org.apache.commons.codec.binary.Base16InputStreamTest,19.0,0.0,11,3,45.36445111036301,0.8011151069412533,1.4690652582794428,0.2719526144792109,64697139,4154796,31394575,1290329,0.4856309010614157,0.012749031936330608,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.6,0.5477225575051662,0,0,5.356643356643358,4.958530162279762
org.apache.commons.codec.language.bm.RuleTest,26.0,0.0,11,1,45.36445111036301,0.8011151069412533,1.4690652582794428,0.2719526144792109,110310195,12349180,46343968,3633028,0.42117430508563203,0.016314577896468976,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest,29.0,0.0,11,1,45.36445111036301,0.8011151069412533,1.4690652582794428,0.2719526144792109,110310195,12349180,47521680,3535190,0.4320094206040914,0.016454991028509655,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
org.apache.commons.codec.language.MatchRatingApproachEncoderTest,32.0,0.0,14,2,37.7544042468071,1.9347630220359064,1.2499473430216312,0.3081792338057105,693318451,129799986,128722315,56272218,0.19336273370393028,0.09640797129225419,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
org.apache.commons.codec.digest.Apr1CryptTest,48.0,0.0,14,1,29.147535115480423,2.5237712717732266,1.156511101871729,0.2751486773005878,2055208960,0,262826497,740144,0.12786103542234334,3.615059482484817E-4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
org.apache.commons.codec.binary.Base32Test,9.0,0.0,15,2,49.36352550983429,0.7334409716566064,1.822681464254856,0.20743045209580221,70044876,14645382,23415363,5034615,0.33333608701638445,0.009879685362561315,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1.2,1.6431676725154982,0,1,3.5338345864661647,4.984571141042773
org.apache.commons.codec.binary.Base16Test,16.0,0.0,15,1,47.673592269420624,1.9949388121546485,1.657248605042696,0.1983402624048821,58929971,6480844,28445694,2057104,0.48348866868348017,0.019238796712106914,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2.0,4.47213595499958,1.8,4.024922359499622,0,0,1.0,0.0,0,0,2.8571428571428568,3.9123039821797576
org.apache.commons.codec.language.Caverphone2Test,23.0,0.0,15,1,45.36445111036301,0.8011151069412533,1.4690652582794428,0.2719526144792109,110310195,12349180,46337952,3623354,0.4210126235981623,0.016428271901471645,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.2,0.44721359549995804,0,0,1.4285714285714284,3.194382824999699
org.apache.commons.codec.language.MetaphoneTest,25.0,0.0,15,1,45.36445111036301,0.8011151069412533,1.4690652582794428,0.2719526144792109,110310195,12349180,46343968,3633028,0.42117430508563203,0.016314577896468976,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
org.apache.commons.codec.language.DoubleMetaphoneTest,33.0,0.0,15,1,37.7544042468071,1.9347630220359064,1.2499473430216312,0.3081792338057105,693318451,129799986,128722315,56272218,0.19336273370393028,0.09640797129225419,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
org.apache.commons.codec.net.URLCodecTest,4.0,0.0,16,4,49.36352550983429,0.7334409716566064,1.822681464254856,0.20743045209580221,130023424,0,19500801,379923,0.14953846153846154,0.00300886264855507,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
org.apache.commons.codec.net.QuotedPrintableCodecTest,6.0,0.0,17,7,49.36352550983429,0.7334409716566064,1.822681464254856,0.20743045209580221,130023424,0,19500801,379923,0.14953846153846154,0.00300886264855507,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
org.apache.commons.codec.binary.Base32OutputStreamTest,20.0,0.0,17,5,45.36445111036301,0.8011151069412533,1.4690652582794428,0.2719526144792109,75078041,13046240,34912617,3765797,0.4684633983230467,0.028505807627289603,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1.8,0.4472135954999579,1,1,8.855957767722474,2.977594371228397
org.apache.commons.codec.digest.Md5CryptTest,45.0,0.0,19,2,29.147535115480423,2.5237712717732266,1.156511101871729,0.2751486773005878,2055208960,0,262826497,740144,0.12786103542234334,3.615059482484817E-4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
org.apache.commons.codec.binary.Base16OutputStreamTest,18.0,0.0,24,3,45.36445111036301,0.8011151069412533,1.4690652582794428,0.2719526144792109,63543705,6531542,30600566,2041451,0.48212236883710197,0.02031311756778125,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.6,0.5477225575051662,0,0,2.336231884057971,2.163608427666931
org.apache.commons.codec.binary.Base32InputStreamTest,10.0,0.0,27,2,49.36352550983429,0.7334409716566064,1.822681464254856,0.20743045209580221,80320921,574328,25940846,3472932,0.3223412602043675,0.04220827361427631,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3.6,0.5477225575051661,1,1,6.289363254880496,3.730685848040691
org.apache.commons.codec.binary.Base64OutputStreamTest,15.0,0.0,27,5,48.44838708639145,2.043069057098873,1.7387890443205833,0.1258047968275617,54630809,3020918,26375370,603220,0.4832865677541135,0.016357216203738496,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2.0,4.47213595499958,1.8,4.024922359499622,0,0,2.0,0.0,1,1,3.687002652519894,3.6591317251052304
org.apache.commons.codec.net.BCodecTest,0.0,0.0,31,3,49.36352550983429,0.7334409716566064,1.822681464254856,0.20743045209580221,130023424,0,19500801,379923,0.14953846153846154,0.00300886264855507,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
org.apache.commons.codec.binary.BaseNCodecTest,13.0,0.0,32,2,49.36352550983429,0.7334409716566064,1.822681464254856,0.20743045209580221,66060288,908093,19442762,4446398,0.2939356295878035,0.06816962507528714,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,13,0,41.16129032258065,1.0601081758164514
org.apache.commons.codec.binary.Base64InputStreamTest,21.0,0.0,32,6,45.36445111036301,0.8011151069412533,1.4690652582794428,0.2719526144792109,97307852,16200414,42131497,4902316,0.43531219606070837,0.020213727528032684,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2.0,0.7071067811865476,1,0,4.168518794167889,0.9549818308911044
org.apache.commons.codec.digest.CryptTest,46.0,0.0,43,27,29.147535115480423,2.5237712717732266,1.156511101871729,0.2751486773005878,2055208960,0,262826497,740144,0.12786103542234334,3.615059482484817E-4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
org.apache.commons.codec.digest.Blake3TestVectorsTest,57.0,0.0,43,2,21.489529609680176,3.540741445726781,0.9442572167608887,0.2015353724603933,2055208960,0,159928428,877793,0.07778318411833399,4.305531686576222E-4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2.2,4.919349550499538,1.8,4.024922359499622,0,0,0.0,0.0,0,0,0.0,0.0
